source_city,destination_city,transport_mode,distance_km,shipment_weight_kg,traffic_level,weather_condition,departure_hour,day_of_week,month,transfer_count,historical_delay_rate,actual_delivery_hours
Kochi,Bengaluru,ROAD,367.7,1032.1,MEDIUM,RAIN,22,5,4,1,0.0202,14.05
Indore,Patna,RAIL,994.0,5247.5,HIGH,CLEAR,12,4,6,0,0.0307,23.51
Jaipur,Kolkata,ROAD,1357.8,1101.5,MEDIUM,CLEAR,2,6,11,1,0.2843,38.48
Visakhapatnam,Bhubaneswar,ROAD,399.0,682.7,MEDIUM,CLEAR,18,5,12,2,0.1951,17.09
Surat,Patna,ROAD,1348.1,557.0,MEDIUM,CLEAR,8,6,3,0,0.2787,37.54
Jaipur,Hyderabad,ROAD,1095.1,564.2,MEDIUM,CLEAR,7,1,11,1,0.0399,29.59
Lucknow,Bhopal,ROAD,534.5,203.9,MEDIUM,RAIN,4,2,9,2,0.2305,20.92
Kolkata,Bengaluru,ROAD,1560.7,445.7,LOW,CLEAR,9,3,8,1,0.0704,36.31
Delhi,Guwahati,ROAD,1459.4,6621.7,MEDIUM,CLEAR,9,0,3,0,0.103,44.3
Bhopal,Visakhapatnam,ROAD,865.7,855.8,LOW,CLEAR,9,0,9,0,0.2697,18.87
Bhubaneswar,Chennai,RAIL,996.3,2553.7,MEDIUM,CLEAR,14,0,8,0,0.1234,16.14
Delhi,Hyderabad,ROAD,1255.4,56.0,LOW,CLEAR,17,5,6,0,0.2012,28.52
Bhubaneswar,Chennai,RAIL,996.3,2168.9,MEDIUM,CLEAR,20,3,8,0,0.2662,17.42
Visakhapatnam,Ahmedabad,AIR,1257.9,903.6,LOW,CLEAR,6,5,3,2,0.2613,9.2
Hyderabad,Pune,ROAD,505.8,615.4,LOW,RAIN,7,5,8,1,0.0027,14.85
Indore,Surat,AIR,356.5,1362.6,MEDIUM,SNOW,14,0,2,1,0.0475,5.04
Chennai,Bhubaneswar,ROAD,996.3,604.9,LOW,SNOW,6,5,4,0,0.2756,22.81
Kochi,Patna,ROAD,1976.9,85.7,HIGH,SNOW,10,1,6,0,0.1687,67.85
Patna,Kochi,RAIL,1976.9,3316.6,MEDIUM,RAIN,15,2,2,1,0.1441,38.52
Ahmedabad,Chennai,RAIL,1371.8,1467.9,LOW,STORM,17,6,11,1,0.0196,27.61
Delhi,Patna,AIR,853.4,752.4,LOW,RAIN,8,2,11,2,0.0075,8.94
Guwahati,Visakhapatnam,ROAD,1286.2,344.0,HIGH,RAIN,16,6,6,1,0.286,48.86
Jaipur,Chennai,RAIL,1607.1,187.9,MEDIUM,CLEAR,15,3,7,0,0.1422,25.96
Bhubaneswar,Kochi,ROAD,1541.8,1434.6,MEDIUM,CLEAR,18,0,4,1,0.2359,43.97
Nagpur,Ahmedabad,ROAD,703.1,7601.7,LOW,CLEAR,9,5,3,1,0.066,25.43
Kochi,Lucknow,ROAD,1944.0,1399.4,MEDIUM,CLEAR,17,0,12,0,0.0711,52.62
Kochi,Visakhapatnam,AIR,1142.8,208.7,HIGH,SNOW,17,4,5,1,0.1681,5.62
Chennai,Bengaluru,ROAD,290.2,1436.8,LOW,CLEAR,8,3,12,0,0.2628,8.06
Ahmedabad,Hyderabad,AIR,879.5,1028.6,LOW,RAIN,15,0,1,0,0.0866,2.87
Lucknow,Kolkata,RAIL,887.0,3092.9,LOW,SNOW,16,3,2,0,0.0986,14.29
Lucknow,Pune,RAIL,1176.7,2271.2,LOW,CLEAR,8,2,6,1,0.1652,19.56
Mumbai,Ahmedabad,RAIL,440.0,30.5,MEDIUM,CLEAR,12,0,10,1,0.012,9.07
Surat,Bengaluru,AIR,1042.5,2109.7,HIGH,CLEAR,11,3,6,0,0.1136,4.28
Chennai,Patna,ROAD,1481.5,328.9,HIGH,CLEAR,17,0,11,1,0.1669,55.89
Patna,Bhopal,ROAD,823.9,199.1,MEDIUM,STORM,0,3,2,1,0.0014,29.75
Nagpur,Visakhapatnam,RAIL,579.2,874.7,LOW,RAIN,13,1,11,0,0.1914,8.0
Coimbatore,Patna,ROAD,1835.2,1795.7,HIGH,RAIN,7,5,6,0,0.0153,65.59
Patna,Bengaluru,ROAD,1610.3,153.1,LOW,RAIN,15,6,4,0,0.216,31.98
Ahmedabad,Delhi,ROAD,775.7,2554.2,LOW,RAIN,16,6,8,0,0.2405,19.34
Guwahati,Jaipur,ROAD,1588.0,2740.8,MEDIUM,RAIN,13,6,10,3,0.2516,57.23
Jaipur,Lucknow,ROAD,511.7,1160.2,LOW,CLEAR,13,0,12,2,0.202,16.2
Pune,Kolkata,ROAD,1575.4,387.2,HIGH,CLEAR,9,3,2,0,0.1685,57.2
Coimbatore,Kochi,AIR,142.3,338.6,HIGH,CLEAR,9,1,9,1,0.0923,3.46
Ahmedabad,Bhopal,ROAD,495.7,3756.0,MEDIUM,RAIN,17,0,4,0,0.1274,17.52
Delhi,Patna,AIR,853.4,178.8,MEDIUM,SNOW,7,2,7,0,0.0261,1.96
Lucknow,Bengaluru,AIR,1581.9,3933.8,LOW,RAIN,17,3,6,0,0.2121,8.51
Kochi,Visakhapatnam,ROAD,1142.8,899.4,LOW,RAIN,15,2,10,0,0.0074,22.07
Chennai,Kolkata,RAIL,1358.4,977.5,MEDIUM,STORM,19,0,5,0,0.124,28.44
Lucknow,Jaipur,RAIL,511.7,141.2,MEDIUM,CLEAR,8,2,4,0,0.1519,9.5
Bengaluru,Jaipur,RAIL,1561.5,919.6,HIGH,CLEAR,13,1,6,0,0.195,35.07
Nagpur,Visakhapatnam,ROAD,579.2,2290.0,LOW,STORM,2,0,9,0,0.103,17.05
Lucknow,Hyderabad,ROAD,1082.1,220.6,LOW,STORM,19,3,11,1,0.1328,33.93
Pune,Kolkata,ROAD,1575.4,1994.9,LOW,RAIN,16,0,1,0,0.1762,34.62
Kolkata,Pune,RAIL,1575.4,1220.3,MEDIUM,CLEAR,15,6,7,0,0.277,30.24
Bhopal,Ahmedabad,AIR,495.7,506.5,MEDIUM,STORM,16,5,1,0,0.2016,2.08
Nagpur,Chennai,RAIL,905.3,3058.3,HIGH,SNOW,9,6,8,3,0.0763,33.25
Coimbatore,Chennai,RAIL,427.4,78.0,LOW,RAIN,14,0,8,0,0.2542,5.88
Jaipur,Kolkata,AIR,1357.8,1662.4,MEDIUM,CLEAR,17,3,11,1,0.0165,7.55
Chennai,Lucknow,RAIL,1532.1,7656.6,LOW,RAIN,6,5,3,0,0.0817,25.83
Visakhapatnam,Pune,ROAD,993.7,6172.9,LOW,SNOW,21,4,10,0,0.0324,28.89
Indore,Ahmedabad,AIR,338.4,1750.7,LOW,SNOW,19,2,9,1,0.1341,5.63
Patna,Kolkata,ROAD,469.2,763.6,MEDIUM,RAIN,21,5,8,1,0.1911,17.32
Delhi,Coimbatore,ROAD,1956.9,511.3,MEDIUM,RAIN,17,2,8,3,0.1593,62.26
Pune,Kochi,RAIL,989.7,762.4,LOW,RAIN,9,6,7,0,0.2434,16.36
Kochi,Chennai,AIR,559.5,2106.0,MEDIUM,RAIN,14,0,1,0,0.1702,3.33
Visakhapatnam,Pune,ROAD,993.7,416.3,HIGH,CLEAR,6,4,10,1,0.0698,32.55
Jaipur,Chennai,ROAD,1607.1,2721.4,LOW,CLEAR,17,0,5,0,0.1609,38.31
Visakhapatnam,Hyderabad,ROAD,502.8,14182.9,LOW,CLEAR,7,6,2,1,0.2206,26.21
Visakhapatnam,Ahmedabad,ROAD,1257.9,1018.1,MEDIUM,SNOW,18,2,8,2,0.1509,44.51
Ahmedabad,Bengaluru,ROAD,1237.0,218.5,MEDIUM,CLEAR,8,0,12,0,0.1326,33.96
Bhubaneswar,Mumbai,RAIL,1361.9,218.4,HIGH,CLEAR,7,5,9,1,0.1587,35.46
Hyderabad,Jaipur,AIR,1095.1,2784.7,LOW,STORM,4,6,3,0,0.1644,6.38
Kolkata,Patna,ROAD,469.2,1020.8,MEDIUM,RAIN,16,6,10,0,0.0932,12.6
Nagpur,Pune,ROAD,620.1,3140.7,HIGH,CLEAR,7,3,11,3,0.2563,33.76
Indore,Bhubaneswar,ROAD,1065.4,578.0,LOW,CLEAR,7,0,4,0,0.0623,22.29
Bengaluru,Ahmedabad,ROAD,1237.0,2971.3,MEDIUM,SNOW,7,1,7,0,0.0098,42.04
Visakhapatnam,Coimbatore,RAIL,1002.3,906.9,HIGH,CLEAR,9,0,11,1,0.2224,24.51
Chennai,Kolkata,RAIL,1358.4,455.3,LOW,CLEAR,20,0,2,0,0.2527,19.92
Visakhapatnam,Surat,RAIL,1155.7,677.8,MEDIUM,CLEAR,12,1,5,0,0.1928,18.81
Mumbai,Kochi,ROAD,1080.2,260.7,HIGH,CLEAR,8,3,6,0,0.1407,34.26
Kochi,Delhi,RAIL,2079.7,11935.0,LOW,RAIN,7,5,1,0,0.2926,45.31
Kochi,Coimbatore,ROAD,142.3,976.9,MEDIUM,CLEAR,1,4,3,0,0.1112,4.28
Kochi,Ahmedabad,ROAD,1507.8,2376.6,MEDIUM,RAIN,10,1,8,1,0.1218,44.97
Nagpur,Lucknow,AIR,661.4,575.8,HIGH,CLEAR,6,4,4,0,0.1773,2.11
Lucknow,Indore,RAIL,688.7,310.3,HIGH,CLEAR,1,1,3,2,0.1291,19.6
Patna,Indore,AIR,994.0,828.3,HIGH,CLEAR,6,3,4,0,0.1666,2.73
Hyderabad,Mumbai,AIR,621.5,4111.0,LOW,SNOW,9,6,2,0,0.29,5.73
Kochi,Bhubaneswar,RAIL,1541.8,587.1,MEDIUM,CLEAR,17,0,8,2,0.0712,30.11
Bhopal,Indore,AIR,170.1,385.8,HIGH,CLEAR,4,6,4,2,0.0446,7.14
Lucknow,Guwahati,ROAD,1076.3,1321.5,MEDIUM,CLEAR,16,1,8,0,0.1271,24.84
Surat,Lucknow,ROAD,1037.7,1995.9,MEDIUM,RAIN,15,4,10,0,0.1512,28.93
Bhopal,Indore,ROAD,170.1,7874.8,LOW,CLEAR,19,1,6,2,0.214,16.87
Mumbai,Jaipur,ROAD,920.7,1676.6,HIGH,STORM,7,1,11,0,0.2866,47.67
Bengaluru,Bhubaneswar,ROAD,1196.1,2375.1,LOW,RAIN,17,3,3,0,0.2066,28.46
Kolkata,Visakhapatnam,ROAD,763.8,2599.6,LOW,RAIN,18,2,12,1,0.2962,24.43
Bengaluru,Coimbatore,RAIL,228.2,274.9,HIGH,RAIN,22,3,4,2,0.0739,10.56
Jaipur,Surat,RAIL,705.5,345.2,HIGH,CLEAR,17,1,4,1,0.0627,19.64
Nagpur,Kochi,RAIL,1283.0,298.7,HIGH,STORM,6,6,12,0,0.092,33.02
Nagpur,Ahmedabad,ROAD,703.1,221.7,MEDIUM,STORM,21,4,6,3,0.2361,33.07
Lucknow,Kochi,RAIL,1944.0,2848.5,LOW,CLEAR,18,5,9,0,0.056,29.59
Bhubaneswar,Delhi,ROAD,1270.2,1553.2,MEDIUM,RAIN,8,5,10,1,0.0589,42.05
Bhopal,Patna,ROAD,823.9,1206.4,LOW,CLEAR,7,5,6,0,0.1235,17.77
Delhi,Mumbai,ROAD,1148.1,48.8,HIGH,RAIN,20,0,4,1,0.0953,41.14
Kochi,Bhopal,ROAD,1487.1,12920.5,MEDIUM,SNOW,7,4,6,1,0.1939,63.76
Bhopal,Lucknow,ROAD,534.5,375.0,MEDIUM,STORM,17,6,5,0,0.2671,23.15
Indore,Lucknow,AIR,688.7,12863.8,LOW,CLEAR,11,0,5,1,0.0416,17.26
Bhopal,Lucknow,RAIL,534.5,192.7,MEDIUM,RAIN,16,3,3,2,0.164,15.22
Bhopal,Lucknow,RAIL,534.5,413.7,HIGH,RAIN,6,1,11,0,0.0265,10.87
Delhi,Jaipur,ROAD,235.3,78.0,MEDIUM,CLEAR,16,5,7,0,0.0664,5.34
Bhopal,Lucknow,AIR,534.5,1693.5,LOW,RAIN,13,6,10,0,0.0927,3.04
Kochi,Bhopal,RAIL,1487.1,292.5,LOW,RAIN,19,0,8,1,0.1737,24.07
Pune,Kochi,ROAD,989.7,302.6,LOW,SNOW,7,5,5,1,0.1665,31.73
Indore,Bhopal,RAIL,170.1,211.2,LOW,STORM,6,2,4,0,0.1929,2.86
Mumbai,Indore,ROAD,509.8,2787.3,HIGH,CLEAR,7,6,12,0,0.2457,19.81
Pune,Visakhapatnam,ROAD,993.7,2575.4,MEDIUM,CLEAR,5,0,1,1,0.0562,26.76
Jaipur,Guwahati,ROAD,1588.0,9647.4,LOW,CLEAR,22,1,4,0,0.223,37.11
Guwahati,Bengaluru,RAIL,2080.0,481.6,MEDIUM,CLEAR,6,5,9,0,0.2001,36.18
Kolkata,Patna,ROAD,469.2,1425.9,LOW,CLEAR,7,5,7,0,0.0239,11.39
Hyderabad,Kolkata,ROAD,1181.9,233.4,LOW,SNOW,17,0,8,1,0.1034,32.47
Jaipur,Chennai,ROAD,1607.1,733.6,MEDIUM,CLEAR,8,1,1,3,0.0083,50.61
Guwahati,Kochi,AIR,2429.0,588.4,LOW,RAIN,8,2,3,1,0.0271,9.2
Bhubaneswar,Delhi,ROAD,1270.2,1914.7,MEDIUM,CLEAR,16,0,8,0,0.0851,31.64
Mumbai,Visakhapatnam,ROAD,1101.9,3716.1,HIGH,CLEAR,11,5,4,2,0.0729,44.29
Kolkata,Kochi,ROAD,1906.4,3602.1,HIGH,SNOW,18,4,6,0,0.2701,88.53
Visakhapatnam,Guwahati,AIR,1286.2,398.9,LOW,RAIN,15,5,12,3,0.2681,12.58
Delhi,Nagpur,RAIL,851.7,3634.3,MEDIUM,CLEAR,9,3,8,0,0.1734,18.02
Bhubaneswar,Bengaluru,AIR,1196.1,1040.1,LOW,STORM,14,4,8,2,0.2205,11.01
Hyderabad,Bhubaneswar,ROAD,837.2,742.8,MEDIUM,CLEAR,18,4,3,2,0.2999,32.0
Coimbatore,Chennai,ROAD,427.4,468.6,LOW,CLEAR,10,4,8,2,0.1231,14.81
Hyderabad,Pune,RAIL,505.8,560.1,MEDIUM,CLEAR,16,3,12,0,0.1567,8.96
Jaipur,Bengaluru,ROAD,1561.5,8873.1,LOW,RAIN,11,4,8,2,0.1953,46.41
Nagpur,Jaipur,AIR,723.5,1585.9,HIGH,CLEAR,13,4,10,1,0.2762,5.93
Bengaluru,Patna,AIR,1610.3,1352.3,HIGH,SNOW,16,4,12,0,0.2391,4.89
Bhopal,Hyderabad,ROAD,662.8,800.6,LOW,RAIN,4,6,11,0,0.0193,14.61
Surat,Visakhapatnam,AIR,1155.7,20643.9,MEDIUM,CLEAR,12,2,5,1,0.2139,23.76
Kochi,Indore,RAIL,1422.7,5250.2,LOW,SNOW,6,6,4,2,0.0756,33.26
Guwahati,Indore,ROAD,1650.8,461.6,MEDIUM,CLEAR,16,0,4,1,0.0765,38.69
Nagpur,Coimbatore,ROAD,1149.0,789.7,LOW,CLEAR,14,3,10,0,0.1642,23.58
Jaipur,Pune,ROAD,953.9,848.0,LOW,CLEAR,9,3,5,1,0.2089,23.71
Jaipur,Guwahati,AIR,1588.0,1306.4,MEDIUM,CLEAR,5,6,10,0,0.0478,4.72
Jaipur,Bhopal,ROAD,437.9,472.7,MEDIUM,CLEAR,20,0,10,0,0.0944,11.53
Visakhapatnam,Indore,ROAD,950.0,1856.7,MEDIUM,CLEAR,9,1,8,1,0.2148,29.73
Pune,Hyderabad,RAIL,505.8,6263.6,MEDIUM,RAIN,9,3,2,1,0.0456,17.9
Chennai,Kolkata,ROAD,1358.4,226.7,LOW,CLEAR,6,5,9,1,0.2549,28.85
Pune,Chennai,ROAD,914.4,283.2,LOW,CLEAR,14,3,3,1,0.1368,18.59
Mumbai,Kolkata,RAIL,1654.8,614.1,MEDIUM,RAIN,8,4,7,0,0.1758,30.58
Bengaluru,Chennai,ROAD,290.2,649.3,MEDIUM,CLEAR,18,1,3,1,0.0241,10.63
Delhi,Patna,ROAD,853.4,12066.1,LOW,RAIN,16,6,1,0,0.2864,28.62
Kochi,Delhi,ROAD,2079.7,3648.4,LOW,RAIN,0,5,8,3,0.2723,56.8
Patna,Indore,ROAD,994.0,3405.6,MEDIUM,CLEAR,14,0,6,2,0.057,32.12
Nagpur,Coimbatore,ROAD,1149.0,798.5,MEDIUM,CLEAR,8,4,8,2,0.1989,35.66
Lucknow,Kochi,RAIL,1944.0,777.8,HIGH,CLEAR,1,0,6,2,0.2379,45.69
Patna,Jaipur,AIR,943.7,192.1,MEDIUM,CLEAR,15,3,5,1,0.0366,5.47
Chennai,Delhi,ROAD,1755.8,2802.0,MEDIUM,RAIN,8,4,1,0,0.1732,49.67
Coimbatore,Visakhapatnam,AIR,1002.3,1976.9,MEDIUM,RAIN,19,6,4,2,0.2551,11.56
Surat,Mumbai,RAIL,232.9,5131.7,LOW,RAIN,14,0,11,0,0.152,7.77
Coimbatore,Nagpur,RAIL,1149.0,851.5,LOW,CLEAR,8,2,10,2,0.2771,23.54
Chennai,Nagpur,RAIL,905.3,925.1,LOW,STORM,22,4,6,0,0.0143,14.97
Lucknow,Chennai,RAIL,1532.1,1344.9,HIGH,CLEAR,13,1,1,2,0.2758,41.69
Nagpur,Patna,AIR,790.9,3198.0,LOW,SNOW,7,4,12,1,0.2932,8.28
Lucknow,Chennai,ROAD,1532.1,187.9,MEDIUM,SNOW,13,1,9,2,0.0468,46.6
Jaipur,Kolkata,RAIL,1357.8,2652.5,MEDIUM,CLEAR,21,1,1,0,0.1293,22.33
Chennai,Visakhapatnam,ROAD,601.6,1070.0,LOW,CLEAR,11,3,3,1,0.1862,14.6
Ahmedabad,Guwahati,ROAD,1966.8,307.9,HIGH,CLEAR,11,4,3,2,0.268,72.7
Kolkata,Hyderabad,RAIL,1181.9,89.9,MEDIUM,STORM,12,1,11,0,0.0479,22.16
Pune,Coimbatore,ROAD,898.3,931.0,LOW,CLEAR,9,6,12,0,0.1002,20.08
Nagpur,Coimbatore,ROAD,1149.0,6230.8,MEDIUM,SNOW,7,6,5,0,0.2394,43.69
Indore,Kochi,ROAD,1422.7,8181.4,MEDIUM,RAIN,14,0,3,1,0.123,43.86
Indore,Bengaluru,ROAD,1099.4,1679.8,LOW,CLEAR,19,2,8,1,0.1815,27.45
Ahmedabad,Hyderabad,RAIL,879.5,11549.6,MEDIUM,RAIN,16,3,4,1,0.168,28.24
Guwahati,Nagpur,RAIL,1402.1,1041.6,MEDIUM,CLEAR,6,3,2,0,0.292,23.27
Delhi,Guwahati,ROAD,1459.4,3442.5,LOW,CLEAR,11,1,4,0,0.0425,26.19
Pune,Visakhapatnam,ROAD,993.7,638.1,HIGH,STORM,0,3,4,2,0.2845,51.04
Bengaluru,Jaipur,ROAD,1561.5,591.4,MEDIUM,CLEAR,9,6,1,1,0.1692,50.26
Pune,Kolkata,ROAD,1575.4,486.4,MEDIUM,STORM,16,2,9,0,0.2712,52.89
Guwahati,Hyderabad,RAIL,1677.6,92.5,LOW,STORM,9,1,5,0,0.0354,29.56
Ahmedabad,Pune,RAIL,518.1,5138.5,LOW,CLEAR,18,5,7,0,0.1925,10.45
Coimbatore,Guwahati,ROAD,2288.2,507.8,MEDIUM,RAIN,12,3,7,2,0.252,63.21
Lucknow,Bhopal,ROAD,534.5,419.2,MEDIUM,CLEAR,16,4,10,1,0.2361,14.52
Nagpur,Hyderabad,AIR,422.9,266.1,MEDIUM,RAIN,19,4,10,1,0.003,4.5
Lucknow,Mumbai,RAIL,1194.7,858.1,MEDIUM,STORM,16,5,7,1,0.1357,29.56
Hyderabad,Jaipur,ROAD,1095.1,9101.5,LOW,SNOW,19,5,11,2,0.0346,40.74
Kochi,Guwahati,ROAD,2429.0,13528.2,MEDIUM,STORM,17,4,7,0,0.0458,106.76
Guwahati,Jaipur,ROAD,1588.0,149.4,HIGH,CLEAR,14,3,1,0,0.2119,50.83
Hyderabad,Nagpur,AIR,422.9,716.7,MEDIUM,RAIN,9,3,11,0,0.287,1.93
Kochi,Hyderabad,ROAD,862.8,317.0,MEDIUM,CLEAR,9,1,10,3,0.1902,31.53
Hyderabad,Kochi,ROAD,862.8,3590.4,HIGH,SNOW,19,3,6,1,0.0307,37.32
Patna,Kochi,AIR,1976.9,1546.8,LOW,CLEAR,3,4,5,1,0.0732,8.26
Kochi,Indore,RAIL,1422.7,510.9,MEDIUM,CLEAR,20,5,11,2,0.1137,30.1
Jaipur,Kochi,ROAD,1888.9,1196.4,HIGH,CLEAR,9,5,6,0,0.0376,73.38
Patna,Bhopal,ROAD,823.9,618.4,MEDIUM,CLEAR,16,2,5,0,0.2544,20.16
Hyderabad,Ahmedabad,ROAD,879.5,7609.1,LOW,CLEAR,9,5,9,1,0.0584,27.87
Delhi,Patna,RAIL,853.4,2114.0,HIGH,CLEAR,21,3,4,3,0.0389,30.71
Delhi,Visakhapatnam,ROAD,1360.9,2449.9,LOW,SNOW,2,2,5,0,0.2177,33.95
Jaipur,Visakhapatnam,AIR,1278.6,44.7,LOW,SNOW,10,1,10,0,0.038,2.61
Coimbatore,Kolkata,AIR,1766.1,1012.2,LOW,CLEAR,18,1,3,2,0.1231,10.7
Bengaluru,Nagpur,RAIL,922.7,13357.8,MEDIUM,SNOW,8,4,1,1,0.1547,36.52
Lucknow,Mumbai,RAIL,1194.7,5384.9,MEDIUM,CLEAR,9,1,5,1,0.0241,28.29
Patna,Bhopal,ROAD,823.9,119.5,MEDIUM,SNOW,19,0,3,0,0.1667,27.99
Kolkata,Bhopal,ROAD,1124.0,752.9,HIGH,CLEAR,18,1,5,0,0.144,35.62
Patna,Ahmedabad,RAIL,1304.5,259.3,MEDIUM,RAIN,6,6,1,0,0.2005,20.87
Pune,Guwahati,ROAD,2022.1,8546.9,MEDIUM,CLEAR,14,1,8,0,0.0657,51.5
Visakhapatnam,Bhubaneswar,ROAD,399.0,1470.2,HIGH,CLEAR,8,1,7,2,0.107,20.53
Bhopal,Mumbai,ROAD,661.4,436.4,HIGH,RAIN,8,2,4,1,0.1979,28.7
Surat,Kolkata,ROAD,1609.7,1142.5,LOW,SNOW,15,2,8,2,0.0107,42.12
Chennai,Kolkata,ROAD,1358.4,48.0,LOW,SNOW,6,6,2,0,0.0347,33.87
Lucknow,Bhubaneswar,RAIL,881.6,298.3,MEDIUM,CLEAR,12,1,1,0,0.0851,12.95
Bhubaneswar,Surat,AIR,1354.3,1145.7,HIGH,RAIN,8,2,6,1,0.0319,7.19
Mumbai,Patna,RAIL,1453.2,3025.4,MEDIUM,SNOW,18,2,2,0,0.0119,29.78
Kochi,Visakhapatnam,AIR,1142.8,106.7,LOW,CLEAR,14,1,11,0,0.2962,2.88
Lucknow,Kochi,ROAD,1944.0,694.1,MEDIUM,CLEAR,8,2,4,0,0.1367,54.26
Patna,Delhi,AIR,853.4,3683.5,MEDIUM,CLEAR,20,1,6,0,0.1601,5.4
Nagpur,Bengaluru,RAIL,922.7,192.1,MEDIUM,CLEAR,18,5,4,0,0.0765,18.4
Jaipur,Ahmedabad,ROAD,540.5,1443.8,HIGH,CLEAR,8,5,6,0,0.0023,19.24
Pune,Patna,AIR,1402.5,1187.0,MEDIUM,CLEAR,21,1,2,2,0.2252,10.84
Indore,Chennai,ROAD,1168.6,8580.6,MEDIUM,RAIN,8,3,12,0,0.2171,45.83
Bengaluru,Ahmedabad,ROAD,1237.0,832.0,MEDIUM,RAIN,9,1,3,1,0.2918,37.97
Bhopal,Kolkata,ROAD,1124.0,892.5,MEDIUM,SNOW,10,6,5,1,0.0063,36.95
Delhi,Chennai,ROAD,1755.8,3059.3,MEDIUM,RAIN,7,0,11,1,0.0411,47.32
Indore,Chennai,ROAD,1168.6,223.3,MEDIUM,CLEAR,16,2,6,1,0.2136,31.89
Indore,Chennai,RAIL,1168.6,841.3,MEDIUM,STORM,14,2,9,0,0.099,22.14
Delhi,Bhopal,AIR,595.7,634.7,MEDIUM,RAIN,19,2,1,0,0.0191,2.07
Kochi,Jaipur,ROAD,1888.9,928.3,MEDIUM,RAIN,8,6,4,1,0.0903,61.96
Jaipur,Lucknow,RAIL,511.7,3035.4,LOW,CLEAR,7,3,10,3,0.0263,19.69
Kochi,Patna,ROAD,1976.9,2132.4,MEDIUM,RAIN,10,2,4,0,0.2513,55.76
Mumbai,Bhubaneswar,AIR,1361.9,446.6,MEDIUM,RAIN,7,5,5,0,0.2631,3.95
Chennai,Surat,ROAD,1196.8,1292.1,LOW,RAIN,21,5,1,3,0.1911,34.57
Lucknow,Indore,ROAD,688.7,6558.6,LOW,SNOW,16,1,7,1,0.1157,24.48
Chennai,Patna,RAIL,1481.5,404.4,LOW,STORM,17,3,5,1,0.2306,28.24
Pune,Nagpur,RAIL,620.1,1305.3,HIGH,STORM,17,2,11,1,0.1895,22.23
Nagpur,Bengaluru,RAIL,922.7,869.8,HIGH,RAIN,8,3,5,2,0.2376,28.71
Bengaluru,Guwahati,RAIL,2080.0,1016.8,MEDIUM,STORM,7,2,10,1,0.1533,48.71
Nagpur,Chennai,RAIL,905.3,155.0,MEDIUM,STORM,11,5,11,1,0.2875,20.5
Bengaluru,Jaipur,ROAD,1561.5,5960.5,MEDIUM,CLEAR,18,6,11,1,0.087,47.69
